"scale","shape","param_draw"
42.8515538865532,2.47404188310145,1
50.4239761017332,2.51073779899945,2
37.476501634759,3.40764778777232,3
35.8065421313976,4.50976501566684,4
37.6109360827317,4.4328594954786,5
37.8716086763497,3.16078784011315,6
39.8070171944232,2.45506205143983,7
38.8629593909698,4.11068019559277,8
35.4371993244133,4.35407745072025,9
34.0217698926904,3.65346828138004,10
35.4889355793949,3.37170104690798,11
45.004324810774,2.44615071046637,12
39.7353282935091,3.50138927153542,13
36.5082429182052,3.64957998666643,14
42.1234159589126,3.38422718367416,15
42.7519486318212,2.64655066018071,16
40.4179650973016,2.51381491811149,17
36.9678638093616,3.37221595254761,18
38.9911060988953,3.16808386315099,19
40.5622231358796,3.21256982799794,20
42.1546637771412,2.50403718872621,21
45.7577949845091,2.87581195163976,22
35.2929913500925,3.11862031908096,23
37.0577292820967,3.18797371875018,24
44.1862519526063,2.49838332141845,25
38.2917966236289,2.85096262613995,26
37.9608417482033,3.3951365050915,27
35.7367678322991,3.99606617244486,28
45.0436157329764,2.95684371384749,29
34.6580968489571,4.27632011127208,30
44.4721956977337,2.75795906416038,31
49.8956796826659,2.19300221598912,32
43.5171015317266,2.45044586411591,33
32.7629894286867,5.41066308135459,34
31.5373482957357,6.60219661000145,35
39.2642797917993,3.00759608885005,36
33.4430656545423,4.21093805723025,37
41.6762729892702,3.94202505980175,38
40.0260763858538,3.48569708664521,39
37.6726604050099,2.62142119151742,40
49.4763602891167,2.47051440480314,41
40.0394657266957,3.29940099943482,42
39.1527400772284,3.3184416697459,43
43.4761889161115,3.08312642028052,44
38.1325522589296,3.27301271085989,45
43.4867934010333,2.90145884965995,46
37.0582372396417,3.1549043745403,47
35.0118335082484,3.62149619403485,48
40.8308871263064,3.99201525234273,49
40.6010699374458,4.39316440840889,50
